date,currency,rate
2022-12-30,AUD,1.5693
2022-12-31,AUD,1.5693
2023-01-01,AUD,1.5693
2023-01-02,AUD,1.5699
2023-01-03,AUD,1.5708
2023-01-04,AUD,1.5452
2023-01-05,AUD,1.5515
2023-01-06,AUD,1.559
2023-01-07,AUD,1.559
2023-01-08,AUD,1.559
2023-01-09,AUD,1.5446
2023-01-10,AUD,1.5616
2023-01-11,AUD,1.5588
2023-01-12,AUD,1.557
2023-01-13,AUD,1.5586
2023-01-14,AUD,1.5586
2023-01-15,AUD,1.5586
2023-01-16,AUD,1.5537
2023-01-17,AUD,1.5611
2023-01-18,AUD,1.5413
2023-01-19,AUD,1.5726
2023-01-20,AUD,1.5619
2023-01-21,AUD,1.5619
2023-01-22,AUD,1.5619
2023-01-23,AUD,1.5529
2023-01-24,AUD,1.547
2023-01-25,AUD,1.536
2023-01-26,AUD,1.5308
2023-01-27,AUD,1.5289
2023-01-28,AUD,1.5289
2023-01-29,AUD,1.5289
2023-01-30,AUD,1.539
2023-01-31,AUD,1.5476
2023-02-01,AUD,1.5392
2023-02-02,AUD,1.5407
2023-02-03,AUD,1.5499
2023-02-04,AUD,1.5499
2023-02-05,AUD,1.5499
2023-02-06,AUD,1.5596
2023-02-07,AUD,1.547
2023-02-08,AUD,1.5416
2023-02-09,AUD,1.5409
2023-02-10,AUD,1.5432
2023-02-11,AUD,1.5432
2023-02-12,AUD,1.5432
2023-02-13,AUD,1.5388
2023-02-14,AUD,1.5411
2023-02-15,AUD,1.5529
2023-02-16,AUD,1.55
2023-02-17,AUD,1.556
2023-02-18,AUD,1.556
2023-02-19,AUD,1.556
2023-02-20,AUD,1.5456
2023-02-21,AUD,1.5517
2023-02-22,AUD,1.5576
2023-02-23,AUD,1.5551
2023-02-24,AUD,1.5668
2023-02-25,AUD,1.5668
2023-02-26,AUD,1.5668
2023-02-27,AUD,1.5739
2023-02-28,AUD,1.576
2023-03-01,AUD,1.5776
2023-03-02,AUD,1.5773
2023-03-03,AUD,1.5728
2023-03-04,AUD,1.5728
2023-03-05,AUD,1.5728
2023-03-06,AUD,1.5807
2023-03-07,AUD,1.6002
2023-03-08,AUD,1.5978
2023-03-09,AUD,1.5965
2023-03-10,AUD,1.6064
2023-03-11,AUD,1.6064
2023-03-12,AUD,1.6064
2023-03-13,AUD,1.6066
2023-03-14,AUD,1.6052
2023-03-15,AUD,1.5888
2023-03-16,AUD,1.5932
2023-03-17,AUD,1.5874
2023-03-18,AUD,1.5874
2023-03-19,AUD,1.5874
2023-03-20,AUD,1.5978
2023-03-21,AUD,1.6136
2023-03-22,AUD,1.6132
2023-03-23,AUD,1.6242
2023-03-24,AUD,1.6189
2023-03-25,AUD,1.6189
2023-03-26,AUD,1.6189
2023-03-27,AUD,1.6204
2023-03-28,AUD,1.6219
2023-03-29,AUD,1.6252
2023-03-30,AUD,1.6263
2023-03-31,AUD,1.6268
2023-04-01,AUD,1.6268
2023-04-02,AUD,1.6268
2023-04-03,AUD,1.608
2023-04-04,AUD,1.6154
2023-04-05,AUD,1.6325
2023-04-06,AUD,1.6312
2023-04-07,AUD,1.6312
2023-04-08,AUD,1.6312
2023-04-09,AUD,1.6312
2023-04-10,AUD,1.6312
2023-04-11,AUD,1.6387
2023-04-12,AUD,1.6377
2023-04-13,AUD,1.6343
2023-04-14,AUD,1.6309
2023-04-15,AUD,1.6309
2023-04-16,AUD,1.6309
2023-04-17,AUD,1.6356
2023-04-18,AUD,1.6276
2023-04-19,AUD,1.6301
2023-04-20,AUD,1.629
2023-04-21,AUD,1.6394
2023-04-22,AUD,1.6394
2023-04-23,AUD,1.6394
2023-04-24,AUD,1.6468
2023-04-25,AUD,1.6564
2023-04-26,AUD,1.6725
2023-04-27,AUD,1.6672
2023-04-28,AUD,1.6664
2023-04-29,AUD,1.6664
2023-04-30,AUD,1.6664
2023-05-01,AUD,1.6664
2023-05-02,AUD,1.6371
2023-05-03,AUD,1.6564
2023-05-04,AUD,1.6585
2023-05-05,AUD,1.6379
2023-05-06,AUD,1.6379
2023-05-07,AUD,1.6379
2023-05-08,AUD,1.6244
2023-05-09,AUD,1.6217
2023-05-10,AUD,1.6222
2023-05-11,AUD,1.6226
2023-05-12,AUD,1.631
2023-05-13,AUD,1.631
2023-05-14,AUD,1.631
2023-05-15,AUD,1.6261
2023-05-16,AUD,1.6307
2023-05-17,AUD,1.6273
2023-05-18,AUD,1.6285
2023-05-19,AUD,1.6231
2023-05-20,AUD,1.6231
2023-05-21,AUD,1.6231
2023-05-22,AUD,1.6294
2023-05-23,AUD,1.6282
2023-05-24,AUD,1.6402
2023-05-25,AUD,1.6443
2023-05-26,AUD,1.6439
2023-05-27,AUD,1.6439
2023-05-28,AUD,1.6439
2023-05-29,AUD,1.6384
2023-05-30,AUD,1.6397
2023-05-31,AUD,1.6497
2023-06-01,AUD,1.6407
2023-06-02,AUD,1.6248
2023-06-03,AUD,1.6248
2023-06-04,AUD,1.6248
2023-06-05,AUD,1.6219
2023-06-06,AUD,1.6038
2023-06-07,AUD,1.6004
2023-06-08,AUD,1.6061
2023-06-09,AUD,1.6023
2023-06-10,AUD,1.6023
2023-06-11,AUD,1.6023
2023-06-12,AUD,1.592
2023-06-13,AUD,1.5922
2023-06-14,AUD,1.5915
2023-06-15,AUD,1.5924
2023-06-16,AUD,1.5941
2023-06-17,AUD,1.5941
2023-06-18,AUD,1.5941
2023-06-19,AUD,1.5964
2023-06-20,AUD,1.612
2023-06-21,AUD,1.6154
2023-06-22,AUD,1.6194
2023-06-23,AUD,1.6285
2023-06-24,AUD,1.6285
2023-06-25,AUD,1.6285
2023-06-26,AUD,1.6346
2023-06-27,AUD,1.6369
2023-06-28,AUD,1.6525
2023-06-29,AUD,1.648
2023-06-30,AUD,1.6398
2023-07-01,AUD,1.6398
2023-07-02,AUD,1.6398
2023-07-03,AUD,1.6383
2023-07-04,AUD,1.6286
2023-07-05,AUD,1.6329
2023-07-06,AUD,1.6308
2023-07-07,AUD,1.6416
2023-07-08,AUD,1.6416
2023-07-09,AUD,1.6416
2023-07-10,AUD,1.6488
2023-07-11,AUD,1.6493
2023-07-12,AUD,1.6479
2023-07-13,AUD,1.6299
2023-07-14,AUD,1.635
2023-07-15,AUD,1.635
2023-07-16,AUD,1.635
2023-07-17,AUD,1.6487
2023-07-18,AUD,1.6523
2023-07-19,AUD,1.6582
2023-07-20,AUD,1.6416
2023-07-21,AUD,1.651
2023-07-22,AUD,1.651
2023-07-23,AUD,1.651
2023-07-24,AUD,1.6469
2023-07-25,AUD,1.6328
2023-07-26,AUD,1.6401
2023-07-27,AUD,1.6383
2023-07-28,AUD,1.6508
2023-07-29,AUD,1.6508
2023-07-30,AUD,1.6508
2023-07-31,AUD,1.6436
2023-08-01,AUD,1.6557
2023-08-02,AUD,1.6691
2023-08-03,AUD,1.6748
2023-08-04,AUD,1.6694
2023-08-05,AUD,1.6694
2023-08-06,AUD,1.6694
2023-08-07,AUD,1.6715
2023-08-08,AUD,1.6827
2023-08-09,AUD,1.6779
2023-08-10,AUD,1.6767
2023-08-11,AUD,1.685
2023-08-12,AUD,1.685
2023-08-13,AUD,1.685
2023-08-14,AUD,1.6853
2023-08-15,AUD,1.6888
